protein1	protein2
PAK1	PRKG1
GSK3A	PRKCI
COMMD1	REL
EIF4EBP1	TCF4
HMGB1	HMGB2
HSP90AB1	TRAF2
VDAC1	VDAC1
RUNX1	CREBBP
ACTN1	DYNLT1
FERMT1	SBDS
MAD2L1	MAD2L1
SIRT6	CCT5
EIF6	CFL1
EED	CFL1
NUP214	PNPT1
APEX1	DDB1
GLUL	HIPK3
CTBP1	ORC4
HSPA9	APP
GNA13	PTK2B
ATXN7L3	SUPT3H
PIN1	U2AF2
POLE	PABPC1
USP4	TGFBR1
CFH	SMAD3
USP7	CDC37
TRIM36	TRIM36
SIRT7	WDR12
ZWINT	ZW10
DAB2	DVL1
APP	NF1
SIAH2	USP19
GRB2	RRAS
ANAPC7	CREBBP
FN1	SRSF9
ARRB2	HSPA8
CNTROB	PRMT3
SLC25A13	SLC25A4
CEBPB	CEBPG
SP1	NUP62
RUVBL2	TAB2
IRF9	IRF9
RNF11	ZFYVE9
MBD3	TET1
UBE2I	SAE1
RAP1A	ARHGDIA
SMURF1	XRCC6
PHB2	DDX20
XPO1	PJA2
YWHAH	CLK3
XPO1	MTA2
HRAS	BRAP
PTGES3	ERBB3
RC3H1	UBE2L3
RBPJ	USP7
DDX1	EIF4EBP1
NCOA3	CHUK
ARRB1	ROCK1
ENO1	MYO1E
UBE2I	SUZ12
FN1	DDX5
BRD4	MED17
SUZ12	NDRG1
PLCB1	PRKDC
ELAVL1	AQP3
FBXW11	CDK5
HSPA5	CALR
RBM22	RBM4
DYRK2	RB1CC1
TP53	ITCH
NCL	PCBP2
SKI	HSPD1
DVL3	SNIP1
CAMKK2	CALM2
EHMT1	SETDB2
HDAC9	TP53
CREB1	CEBPB
PSMD10	HSP90AA1
RYBP	DEDD
MCM2	RPS14
HUWE1	DLD
TRIM22	TRIM22
LCMT1	PPP4R2
HSP90AA1	CSNK2A1
TADA3	KAT2B
HSF1	PRKDC
NFKB1	NFKB2
SKI	TBL1XR1
SNW1	SRRT
HNRNPF	RBFOX2
RUNX3	NOTCH1
ATP1A1	ATP5F1C
ATP6AP2	FKBP8
ARIH1	UBA2
ATM	NABP2
RPA2	PABPC1
ATR	PPP2R2A
EIF6	PRKCB
AQP1	AMOT
SORT1	APTX
LIMA1	BMP2K
DBN1	DST
OPA1	BNIP3
CYP1A2	LSS
CDKN1A	NR1H2
ANXA11	PRDX2
LMNA	NUMA1
BAG3	HSP90AB1
CALM3	TRADD
NPM1	C18orf32
AXIN1	TSC1
MORF4L1	BRCA1
ADNP	RRS1
POLK	TIA1
MAP3K4	MAP2K1
YAP1	YWHAH
SKI	NCL
NUDT21	DBN1
RRAS2	RALGDS
RBBP8	RBBP8
THOC3	THOC7
HNRNPK	MAPK8
JAK1	STAT3
HSPA8	PFN2
CPSF6	SNRNP200
HK2	SREBF1
TOMM20	VDAC1
TOPBP1	NBN
LEO1	UBE2A
JMJD6	RBM25
EED	SEPTIN9
KIF2C	APP
EED	CLK3
MCF2L	SF3B1
ELAVL1	BMI1
OTUD7B	UBE2S
ATM	ZER1
RC3H1	UBE2V2
PIP5K1C	CDK1
ARRB2	PPP2R1A
PTK2B	ANXA6
TBK1	IKBKB
MAD2L1	RPS3A
RNF2	YY1
ELAVL1	BRPF3
RAB27A	SYTL5
TERF2	MACF1
VHL	RPS3A
CAT	HSD17B4
GLG1	RPS13
MAP2K7	MAPK8IP1
FAF1	PRMT3
TEAD2	SMC1A
LAMB1	ACHE
CUL3	CPSF2
VCP	ADD1
PRKCZ	CASP9
IGFBP2	TF
ERBB2	CDK1
WWP2	UBE2D2
ELAVL1	GPAT3
USP46	USP12
GAS6	MERTK
ELAVL1	CSNK2A1
PRMT1	CIRBP
SIRT1	AR
HNRNPU	CRNKL1
ATXN1	RBPMS
CDK13	TUBB3
RNF2	SRSF10
NEDD4	SKP1
WARS	WARS
HIPK2	HIPK2
FGR	PLD2
MED14	MED4
PRKDC	CHUK
STX1A	SNAP23
SMARCC2	TSG101
PRKCB	MAPK9
CSNK2A1	VTN
TNIK	AGTPBP1
POLE3	APP
ACO2	ALDH5A1
SAV1	LATS2
FBLN1	SPRY1
HRG	TNFRSF1A
LMNA	TIPRL
NLRP3	ULK1
MAPK8	SIRT1
AHR	RBX1
PIN1	MAP1S
PHB	DBN1
PTK2	STUB1
MED4	AMOT
RILP	RILP
SOCS3	RASA1
TERF1	MCM2
PTK2	FGR
OPHN1	RAC1
CSNK2A1	H2AFX
TERF2	RYR2
BAG3	MCM6
ACD	DBN1
PKD1	BCAR1
TOP2B	CDK1
BIK	BTN2A2
PIM1	SKP2
EXT2	SNCG
SMAD6	CTBP1
IL16	KIFC3
2-Mar	GOPC
VHL	LIMD1
MED17	TP53
HDAC11	DNAJB6
FBXO6	NME1
CSNK2A1	HDAC1
LYN	IKBKG
VCAM1	PPP2R1A
DAP3	THRA
PIN1	TUT1
BAX	RNF144B
OBSL1	SRRT
CUL3	NAE1
GRB2	HSPA9
RYK	EPHB3
XRN1	SYNCRIP
PRKCE	PEA15
DVL2	HSPA5
ATR	TOPBP1
POU5F1	POU5F1
IL1B	IL1B
TANK	CLTC
RPA1	DDX5
GRB2	ABLIM1
BNIP3	TGM2
INSR	SQSTM1
ATF2	TMED10
UBE2E2	RNF8
NFKB2	SKP1
UBE2G1	RBCK1
DUSP19	MAPK9
TAF6L	TAF5L
DLL1	PSEN1
LAMTOR3	PTPN1
SYT6	MADD
TANK	APBA3
COPS5	CIRBP
KRT18	PIAS4
EGFR	TIMM50
ANXA7	TP53
EDA	LPAR3
NFKB1	CALM1
STK3	DST
HS2ST1	PIGU
ERLEC1	DERL2
CDKN2A	ATR
RPS6KB2	HSPA1A
SIRT7	BPTF
ATG7	SIRT1
TARDBP	HSP90AA1
UBE2I	SUMO3
ARRB1	CLTC
MKNK1	TNIP2
SUZ12	ABLIM1
MAPK3	SP1
SUZ12	SNRNP70
HSPA8	VDAC1
WDR48	ARHGEF10
U2AF2	HNRNPA1
MCM7	MCM7
RAC1	VAV2
HUWE1	ACACB
SMAD3	PML
EIF2B3	YBX3
BRCA1	HIST1H4E
EED	RAC1
COG3	HAUS1
PPM1G	RBM22
VHL	COL6A1
USP7	GLI3
CDK2	VCP
ARRB1	ATP5F1A
CKAP5	SNW1
CDC42	MAP3K10
ETV4	GBA
RPTOR	DEPTOR
NFKBIA	EIF2AK2
BARD1	CDK13
OCRL	CLTC
ACD	SBDS
FBXO6	HSPH1
FBXO4	FBXO4
RARA	SUZ12
CKAP5	CKAP5
CLDN3	PRKACA
MEIS1	PBX3
MYC	SQSTM1
NR1D1	APP
PIP5K1A	NRXN3
MAP2K1	GRB10
PRPF31	SRSF1
UBE2E2	PCGF2
NPM1	LGALS1
PRKCB	TFRC
TUBB3	PHIP
CUL3	RHNO1
WWP1	NFE2
MDM2	TAF1
SMARCA1	SMARCA4
HBB	HBB
DDX5	PABPC1
FOSL2	STMN1
CD9	CD47
HSF4	HSF1
RNF2	SNRNP200
RELA	AIFM1
FLNB	DCTN2
MAPK14	HDAC3
SF3A1	DDX39B
PCM1	XRN1
IL1RAP	IRAK1
HIST4H4	PARP1
DNM2	ITSN1
PPP1CA	CSNK1E
SUZ12	RNF2
MAPK13	MAP3K4
DDX39B	THOC6
CDK5	KIF26B
SMAD1	NOTCH2
PPP5C	RBBP6
SRC	AR
DCLRE1B	POT1
BNIPL	SNAPIN
SMAD2	MYOCD
OTUB1	UBE2E1
DNM1	ROCK2
BMI1	NME1
MSH6	NLRP2
QKI	HNRNPLL
RBMX	TCF4
GRB2	PPP1CB
SMUG1	SMUG1
NAA10	PLSCR3
ARF6	PGD
UBE2D3	MAP3K1
LCK	VDAC1
AKT1	COMMD1
PRPF6	THRAP3
ATXN1	PLA2G10
TERF2	PLOD2
MCC	CYCS
YWHAE	BRD4
ADH5	APP
CDKN2A	BCL2L1
SART1	RBM8A
CFH	THBS1
HSP90AA1	ARNT
EEF1D	EEF1G
YY1	CREBBP
CDH1	CCND1
CDKL5	MACF1
KIFC3	COG7
KLHL13	KLHL9
S100A4	XIAP
FAF1	DDOST
DROSHA	HNRNPM
ABL2	ABI2
ATP5PB	TRAF6
GOLT1B	CHMP1A
HSPA5	HNRNPF
TBK1	RNF11
ATP5PF	ATP5PO
EIF5A	SDCBP
CEP250	HSPA5
BAG3	NASP
LRSAM1	LRSAM1
PRMT1	HNRNPA1
AGTR2	ERBB3
USP16	FOS
TAF12	SUPT7L
TP63	VCP
FOXO3	RAD17
CUL4B	CALM3
RPS6KA5	CREBBP
CTCF	APP
ELAVL1	HDAC2
DDX5	THOC7
RAB3D	APP
SMAD3	CHD8
MRPL58	ATP5PD
TRAF4	WWP1
PSMB5	PSMA2
UBE2D2	RNF8
IRF3	IPO5
CTSD	ACADM
PAK1	RAC1
MYH9	DAB2
RRM2	ANAPC4
IGBP1	CCT5
POGZ	MAD2L2
MOV10	NQO1
GNB1	FYN
NAB2	SMARCD1
UBE2I	TP73
ELAVL1	RBPJ
CAND1	RBM3
TERF2	MCM7
USP7	CBX8
CYP1B1	UGT2B28
PTPN22	PDGFRB
HDAC3	PHB2
PES1	PES1
NCOA6	CREBBP
MYC	MED12
PDPK1	MAP2K1
SGO1	NCOR1
PRMT5	HIST4H4
TRAF2	ERN1
IGBP1	MIF
MDM2	SMARCA4
RCHY1	POLH
RIPK2	IKBKG
ACD	ZFP36L1
TCF4	CYFIP2
PJA1	USP5
TP53BP2	ANXA1
YEATS4	KLF16
AKT1	DNAJB1
RB1	HDAC1
CDK2	ATP5PO
MLH1	NDUFS8
ELAVL1	STX2
USP4	HUWE1
GSK3B	AR
SF3A1	SMYD2
TRIM23	UBE2E1
ID3	FRS3
KLF5	SET
CSNK2A1	CTR9
DAXX	MYH11
TSG101	RAD18
UBE2R2	ARHGDIA
NPM1	ATR
SOCS3	TBK1
PLCG2	DGKI
WDR5	SIN3B
MOV10	HGS
PPARGC1A	MAPK1
UBE2G2	AMFR
UBE2A	CD59
PPP2CA	IKBKB
HERC2	RPA1
NFKB2	PPP6C
PTPRF	PICALM
BRCA1	FLNA
ELAVL1	RPS6
SLU7	CCT5
RB1	CDC27
SMAD2	SMARCC2
UBE2D1	MAP3K1
CUL1	KMT2E
LRRK2	TPM2
ALYREF	SYNCRIP
TAB2	CALM1
MCF2	TGFB1I1
RP2	NCAPH
PRKCZ	PRKCI
WNT3A	WNT3
EFNB2	EIF2B2
EGFR	CALM3
NCBP2	PRPF31
ZFPM2	RBBP4
PPP2CA	MAP3K3
MDM4	APP
ELAVL1	DLG4
MYC	CUL1
U2AF2	HUWE1
HSPB1	IGBP1
ATP5F1C	ATP5F1E
BAG3	SAE1
CTNNB1	SKP1
ADAM15	NUP62
HDAC2	DNAJA1
EIF3A	EIF3E
BRCA1	TPM1
NABP2	SSBP1
HTT	MAP3K10
SNAI2	HDAC1
LAMA1	SAA1
IRS1	PLCG2
FOXJ1	RFX3
MAP2K6	RELA
LAMTOR5	RIF1
CEP250	RPS14
BUB3	KPNB1
CDK2	YEATS2
CUL1	CLTCL1
JAK2	SLC2A1
YWHAB	NF1
CDK6	MAP2K1
MAPK9	JUNB
C18orf32	RPS26
TIPRL	PPP2CB
MOV10	STUB1
CDKN2B	TGFB1I1
KIF2A	TRAP1
GRB2	YWHAG
ELAVL1	RBBP4
GRB2	CD59
CFTR	HSPA9
MYC	TFAM
MCM2	HSPA2
OLA1	HSPA4
ADRB2	GNAS
JAK2	RCN1
DHCR7	HSP90AB1
SF3A1	ILK
USP7	DYNC1H1
GLUL	HIPK1
MYH10	NCL
BAIAP2	BAIAP2
UBD	HDAC6
SNTA1	ADH5
HDAC3	GPS2
TRAP1	SMAD4
HSPA8	DNAJC2
SIN3A	NSD2
PPP5C	EIF6
BAG6	SIRT6
PAK1	SORBS3
HIPK3	DAXX
U2AF2	RBM8A
ANXA11	ANXA3
TAF10	TAF10
PRPF6	MOV10
FYN	NKX2-1
CDK2	GRN
VCP	ACTN4
STUB1	JOSD2
BAG3	SORBS3
NDUFV2	NDUFA13
NFKBIA	NFKBIA
CALCOCO2	RPA2
PPARG	CEBPB
HDAC2	HIST1H4A
CDK2	MCM2
CDC42	RAB11B
XPO7	IKBKG
SCMH1	SCMH1
MAPK14	KMT2C
PTEN	CDH1
CDK7	MAML1
FLNA	CD44
RAD23B	CETN2
STK4	KIF2C
DDOST	RPS6
HDAC11	DNAJA1
BAIAP2	ABI1
NDUFB4	TOMM20
ZBTB17	KLF5
CSGALNACT1	CSGALNACT2
EED	DHX9
TUBB3	GRB2
PRKD2	SMAD1
NPHP1	DYNC1H1
MST1R	YES1
ATXN1	HSPA4
NPM1	EPAS1
HDAC1	ASH2L
WDR82	WDR5
XRCC6	TERF2
KIFAP3	SMC3
HSP90AA1	GIGYF2
VAV2	POGZ
GADD45A	GADD45B
AGO3	AGO1
INSR	INSR
INSIG2	PSMD14
MAP3K1	RHOA
TNRC6A	PABPC1
LRP2	TLN1
BABAM2	TP53
MRPL58	ERAL1
SEM1	NUB1
RBPJ	USP47
SORT1	SH3PXD2B
NCK2	BAIAP2
CDK6	SOX5
PRPF6	U2AF2
PINK1	TGM2
PTAFR	PTK2
FOXO3	ARHGEF2
MVD	MVD
MED21	MED14
NCBP1	EIF4A3
ALDOA	GLO1
EGFR	AAMP
GNAI2	ANXA2
CALM1	SNX6
PFDN5	VEZF1
EGLN2	EGLN2
CDK2	MAP2K1
SLC9A1	TNFRSF1A
VCAM1	DYNC1H1
PSMA2	VCP
IRF3	TRAF3
UROS	GCLM
FBXO6	YWHAE
LPAR3	APP
MED12	TADA3
RBBP4	SMARCD1
UBE2D2	DZIP3
CTNNB1	CARM1
DMPK	RAF1
ERCC6	POLD1
ATP6AP2	RHOA
ACIN1	YWHAG
RNPS1	CRNKL1
NUP214	NUP214
HGF	VTN
ENO1	RPS13
WBP4	BUB3
DHX9	RELA
MAPK1	PFKM
GHR	PTPRB
PAK2	RPS6
RAB7A	PHB
CDK2AP1	CARD9
INPP5D	SHC1
PCGF2	SCMH1
POU5F1	NR2F2
NLK	CUL1
HSP90B1	HSPA5
HDAC1	RBBP5
CUL3	GCLM
ITGA1	PTPN2
MECP2	PPARG
PPP3CA	PPP2R2A
GSK3A	NBR1
HCK	HDAC9
NOS3	EFEMP1
SDCBP	SULT1B1
KRAS	BTRC
SIRT7	ZC3HAV1
DISC1	TNKS
BAK1	UBE3A
HIF1A	SRC
SEPTIN7	REL
HSPH1	HSPA2
ELAVL1	MOV10
ENO1	ACHE
EGFR	VRK1
TBPL1	GTF2A2
IQCB1	LOX
VCP	BAD
THG1L	SH3GLB1
CEP152	NCKAP1
GAPVD1	RASA3
SNCA	PSMC3
VHL	SLC2A1
DDIT3	CEBPB
TPD52	IKBKE
SMAD1	USP15
PIAS2	JUN
LAT2	PLCG2
CDC27	CDKN1A
EGFR	ABL2
TAB2	HSPA8
WBP4	SF3B1
EED	DNMT3A
PRKCD	TFRC
PRKD2	PTPN3
FOSL2	FBXO11
UPF1	TMX1
LGALS3	APP
NCK1	SOS2
MFN1	CCNB1
PHB2	RPS3A
DYNC1H1	LONP1
FOXJ1	FBXO11
IKBKB	BTRC
IL16	TRIP6
CDK14	ACVR1
TSEN2	POLD3
CDC37	SQSTM1
RNF111	TRAF5
TRAF4	CTNNB1
STMN1	MAPK13
CTNNB1	NF2
SNRNP70	CUL1
TRA2B	RBMX
PPM1G	DDX39B
MAP3K1	FLNB
AGTR1	JAK2
ZFP36	YWHAH
INSR	PTPN2
TERF1	CASP7
STK11	TNIP2
CSNK2A1	THAP1
FHL2	TP53
PRPF31	SRSF6
MAPK14	BAD
HNRNPA1	KRT10
RNF167	UBE2M
RAB7A	CHMP1A
MYBBP1A	RNPS1
ERO1A	DDX5
ELAVL1	USP28
UBE2H	RELA
EED	TPR
ALDOA	SOD2
LGALS1	CHORDC1
RAB7A	ATP6V0D1
FYN	FGFR2
SEPTIN11	TRAF6
PPP5C	GNA13
FKBP1A	CTBP1
SIRT6	HSPA2
CDKN2A	HSP90AA1
RAPGEF2	KIF11
RNF2	CALM1
ARHGEF4	CUL3
SRPK2	RBBP6
PPP1CC	TRAF3
PSMC2	XPO1
MAP3K4	SPTBN1
CLN3	PRKDC
PRKCE	RASGRP3
ATG101	PFKL
PPP2R1A	NPM1
EMD	LMNA
OTUD7B	TNIP2
COMMD1	XIAP
OBSL1	OBSL1
TRIM23	PIK3R2
RNF146	UBE2D2
NFKB1	ACTG1
KRAS	APP
HDAC3	TOP2B
KRAS	LPAR1
MAVS	SRC
CASP3	DEDD
RAD23A	PSMC2
ERCC3	SFPQ
KIF11	TBL1XR1
LGALS1	GTF2I
SUPT5H	SUPT4H1
PLCB1	SPTBN1
LGR4	ACTG1
PPIF	UBE4B
PPP2R1A	HSPA8
PIAS3	TRIM32
HNRNPU	LUC7L3
SIRT1	NCOR1
KAT2B	XRCC6
PTK2	SRC
YY1	TFPT
ELAVL1	RNF41
FLT1	PLCG1
JAK2	PTPN12
MCM2	HBB
PPP1CC	TPM4
MYC	MAPK9
LMNA	BAZ1B
DNAJB1	IKBKE
CREBBP	TP53
CYLD	MYO6
SFPQ	PFKM
SPRY2	SPRY1
NIN	HAUS5
SCD	CD207
CLASP2	ATG12
FYN	SEMA7A
SQSTM1	ASPH
NCOR1	TRIM28
BABAM2	TFG
ITGA6	APP
TERF2IP	XPO1
SMAD5	SOX5
CDK2	AARS
GRB2	CYFIP2
FN1	FBLN2
TARBP2	MED21
SRRT	HSPA8
PABPC1	RPS3A
CFTR	DAB2
APLP2	PRKCA
KPNB1	RPS13
UBE2E1	MAP3K1
KATNA1	HSP90AA1
HNRNPM	RAP1A
XPO1	CTR9
TEAD2	ADNP
HDAC6	MAPRE1
RPA1	ATP6V0D1
ERBB2	ITGA5
ARL2	ARL2BP
DDX5	LUC7L3
SNCA	TUBG1
FOXP1	TP53
FBN1	TGFB1
DBNL	HERC2
EP300	MAGED1
SMAD1	XPC
KMT5A	RBBP4
CDC27	ANAPC4
PTEN	XIAP
DDB1	RBBP4
PICALM	CLTCL1
CSNK1E	CDH1
MSH2	SMC1A
CFLAR	SMAD3
TRIM54	ZGPAT
SMURF1	DCTN2
RNF11	WWP2
PPP1CA	SKP1
DDX5	SNRNP70
RBM4	EPAS1
TERF2IP	SET
PSMD14	PSME3
MCM4	CUL4B
PPP2CA	INTS4
UBE2E1	NEDD4
YWHAE	MAP3K7
CYFIP1	HSPA8
ING2	SMURF2
CDK2	DAD1
ERLIN2	SCAP
MAPK8	HSF1
ARRB2	NCL
KDM4A	HDAC3
PTGS1	PTGES
TAF6	TAF7
PRDX2	MSH6
WDR92	PPP1CA
CEP152	HAUS6
SMAD9	DSTN
MED12	MED12
CDC27	ANAPC7
FER	PIK3R3
SMAD2	MAPK9
THOC2	ECPAS
TERF2	POLD1
GAB1	PTPN12
TP73	CDT1
WDR5	TAF12
ATM	RRM1
FLNA	LMNA
DHX9	RBM15
PRKACA	PRKACG
DBN1	DIXDC1
SDCBP	ULK1
USP9X	MAP3K14
HSP90AA1	AARS
SRPK1	LUC7L3
CREM	PRKCA
CIRBP	DHX38
CFLAR	TP53
SCYL2	RPS3A
RAB5B	CDK1
TUT1	CPSF3
YWHAE	XPO1
CDC42	CDC42EP4
YWHAE	CALM2
MALT1	TRAF6
HSPB1	ACTN4
FAN1	PPP2R1A
UBE2D4	RNF167
ZHX2	ZHX2
PDGFRB	PTEN
CSNK2A1	AIP
HGS	NUP62
MCC	STRN
TIRAP	IL1RL1
ACIN1	CDK12
PMS2	AIFM1
VCP	UBE2S
CASP3	BID
ATP5F1A	ATP5F1E
PPT1	CTSD
UBE2L3	HSPA4
TICAM1	CARM1
SMAD3	XPO6
CUL1	CIRBP
FBXW11	IKBKB
OBSL1	DDX39B
PTPN23	EGFR
ATG12	MCL1
AIMP1	APP
IKBKE	MYH10
CUL3	FKBP8
SIRT7	XRN1
CABYR	JUN
PAK2	SKP1
CTNNB1	BCL6
CAT	APP
USP1	USP1
APC	MYO6
RPA1	TERF2
PRKAR1A	PYCARD
KMT2C	EHMT1
FOXP1	FOXP1
POLR3A	POLR3C
HSP90AA1	HNRNPA1
HDAC6	GSK3B
RXRB	POLR3F
GLG1	NFKBIA
SQSTM1	PSMC2
TGFBR1	PREX2
BTRC	UBE4B
WDR5	SMARCC2
ATP5F1C	EGFR
NUMA1	DYNC1H1
HDAC5	YWHAB
SIN3A	RELA
RPA2	PTBP1
VCAM1	MYH10
NR3C1	GNB1
EIF2S1	CASP3
FLNB	VCP
RPS6KA5	HIST2H4A
UBE3C	UBE2D1
SIRT7	UBTF
CDKN1A	PRKCA
ILK	RUVBL1
TRA2B	THOC5
UBR5	TPD52L1
NCBP2	NCBP1
LMNA	ACE
TP53BP2	NAE1
VDR	CDKN1A
RACGAP1	SRRT
RPA2	RTEL1
PTPA	CCT5
RPTOR	DDB1
SIRT7	ANAPC1
IGF2BP1	NCL
COPS5	TUT4
PDPK1	PRKCB
SRC	CFL1
RNF146	PARP2
MCM2	EHD4
ATP5F1C	SERPINA1
PIKFYVE	AKT1
INTS3	INIP
NR3C1	MAPK7
TICAM2	IRAK4
MED4	TBK1
GRSF1	DAP3
SMURF1	JAK1
UBE2D3	RFWD3
CTBP1	HSPA1A
AGTR1	SRC
ERCC3	PTBP1
APPL1	PRKCZ
SF3B1	TRA2B
ANXA2	EIF3E
UHRF2	MCL1
ADAM15	LCK
ELAVL1	TJP1
TPM1	HSP90B1
MAP2K5	ENO1
PFKM	PFKL
MSN	NOTCH2
KPNB1	PHB
PKNOX1	TCF3
UBQLN1	EPS15
HSPA5	LAMTOR5
TCF4	CBFA2T3
CYP1A2	PTGS2
RBM22	SRSF6
HNRNPA1	TARDBP
MARK2	KIF13B
PKN1	PKN1
RPA2	NIPBL
H2AFX	PCNA
CDKN1A	AKT2
IL1RAP	PIK3R1
LDB2	HDAC7
KLHL13	MAD2L1
TAF6L	TAF4
PML	PIN1
MLH1	MBD4
ADRB2	USP20
WWC1	PRKCZ
NDUFS3	NDUFS1
NLRC4	PYCARD
TNIP2	CHUK
YWHAB	ABLIM1
KRT18	CASP8
PNKP	AGTPBP1
UBE2V1	STUB1
CNTROB	MAP3K4
CUL3	HIST1H4E
FADD	FADD
RAF1	DNAJA1
DDX20	STXBP2
USP22	TAF5L
GRB2	PPP3CA
XIAP	STRADB
IRAK1	TRAF4
GRN	NLK
RNF103	VCP
EPHA4	FGFR4
CDKN1B	CUL1
TAF4	TAF5
SORBS1	MYC
KPNB1	PIAS4
PPP1CB	DAPK3
STK25	PTPN13
MOV10	STRAP
TACC3	KIF11
TRIM23	PPP1R15B
FBXW4	CCT5
RPA1	XRN1
NCOR1	SMARCD1
WASF2	WASL
APPL1	ID1
GSTZ1	TRAF2
CDC37	SAFB
NCK1	P2RX7
GSK3B	CLASP2
ANAPC1	CDH1
RPA1	HCFC1
S1PR4	GNA12
SVIL	STOM
CALM2	CAMK2G
JUNB	BRCA1
DTX3L	JAK2
RTN4	SRC
TRAF2	FADD
NF1	TBPL1
HSPA4	RBBP4
POU2F1	APP
CUL3	HPRT1
ENY2	TAF10
SUMO2	SUMO2
TNFRSF1A	RAC1
CAND1	CTCF
CSTB	FLNB
SIRT7	ARID1A
HMOX2	NR3C1
SOD1	SCYL2
HUWE1	PSMD14
MYC	PSMC2
DZIP3	DZIP3
HDAC11	SNW1
ACTA1	TLN1
BRCA1	RELA
RAP1A	HDAC1
IL16	ZRANB1
TRIM33	LDB1
ELAVL1	EDEM1
TMOD1	WARS
HSPB1	HNRNPH1
GADD45A	BAG6
POLD3	POLD1
PHB2	MOV10
RUVBL2	SKP2
SEH1L	CCT5
PNP	TP53
ELAVL1	BLOC1S6
NPR2	PDE6D
ATM	RPA2
RRM2	TSG101
PPM1G	MED4
SMC3	MSH6
GRB2	SAFB
EPS15	HGS
BMI1	AKAP8
LATS2	LNX2
APC	SMC3
ADRB2	SRC
IL27RA	JAK1
DNM1	SRC
RBM15	UBE3C
TAF12	SMARCA5
PAK1	SNAI1
PLCG1	SYN1
HSF1	NME2
GRK2	CAPN2
U2AF2	CDK12
ANXA2	RPS13
VCAM1	HSPA9
RICTOR	RPS6
TP53	CTBP1
NDUFA6	NDUFS8
CNTROB	TNRC6A
CCNB2	TGFBR2
UBE2E3	UBE2E3
MCM2	KPNA6
KPNA4	TGM2
CLK1	PPP1CB
IRAK1	FADD
MGRN1	NEDD4
KCTD13	RHOA
SUZ12	SF3A1
FOS	GTF2F1
SHC1	RPS19
BRAF	ARAF
CUL3	SBDS
ATP5PF	ATP5IF1
TCF3	TRRAP
SMAD3	DDX5
COL17A1	PLEC
PHB2	YBX1
MID1	AR
HSPB1	TP53
RAP1B	KMT2B
EIF3E	TNFRSF14
DDB2	XRCC6
PLPP3	APP
COL4A3	ITGAV
NEDD4L	CDC34
H2AFX	PABPC1
SNRNP200	THOC2
CARM1	HSPH1
DZIP3	RAD18
XIAP	INPP5D
WDR48	PCNA
RUVBL1	VPS72
NFKB1	PPARG
ATP5PO	ATP5MF
GRB2	ID4
EHD2	PICALM
ATF2	PIAS2
SYK	PIK3R2
WWP1	UBE2D3
SMAD1	MED24
HTT	GRB2
HIP1	REL
BIRC5	CDK4
FGF2	FGF2
HSP90AB1	HSPA8
XPO1	ARHGAP1
PIK3R1	DAB2IP
CREB1	CAMK2G
CSNK2A1	MEF2A
CDK1	HMGB1
RPS14	APP
CIRBP	RBM25
ZWINT	DDX5
WWOX	CYFIP2
EED	MYH9
HSP90AA1	TADA2A
HNRNPH1	VIM
SNCA	ANXA6
RPS6KB2	PRMT1
EED	MYBBP1A
CTNNB1	DHX9
IKBKE	TRAF3IP2
TIPIN	MCM2
MAPK7	YWHAE
TP73	IGF2BP1
UPF1	MAGOH
DGKZ	HRAS
SYNCRIP	SART1
MBNL1	HNRNPK
SMAD3	KAT2B
FOXE1	POLE
TLE5	TLE5
HSPA9	AIP
EP300	USF2
HNRNPU	ATP5F1C
CUL3	RHOBTB3
UBE2D4	RNF103
MCM2	DDOST
SIRT7	SMARCC2
SOD2	PRDX2
NR5A2	PRKACA
SNAPIN	AP3D1
CUL4B	HNRNPA1
CDC73	CTNNB1
STUB1	TRAF2
SMAD3	KLHL9
NEDD4	RPS6KB1
RAB5C	XPR1
SF1	HNRNPK
SH2B1	JAK1
EIF4A3	STK25
UBE2D4	RLIM
PARN	PARN
BAK1	BCL2L1
NUDT21	SNCAIP
HOOK3	HOOK2
PSMC3	EPAS1
BRCA1	SMARCA4
HDAC5	PRDX6
FBXO6	RHOG
PPM1G	SLX4
BIRC2	BIRC2
VEGFD	ADAM9
SOCS1	TUBG1
SUMO1	TP63
POT1	SNCG
SRPK2	CLASP1
RNF2	IPO7
NDUFS4	NDUFB4
EHD4	LRSAM1
HTRA2	OPA1
RPA2	RBM25
TAL1	NCAPG2
TAF10	KAT2A
UPF1	UPF3B
SMARCC2	TAF1
PIK3C3	DBN1
MUC20	MUC20
OTUB1	DDX54
COL4A3BP	PRKD1
SQSTM1	NCOR1
DNMT3B	MBD4
BAG3	PSME2
TRAF5	CDC37
MDM2	SF3B1
TBK1	ATP5F1A
PIK3C2B	SHC1
BAIAP2	CYFIP2
YBX1	TUBB
SLC9A3R1	ADRB2
THOC5	THOC7
SIRT7	POLRMT
EP300	MAF
EGFR	YWHAE
ATR	CDKN2C
FBXW11	RBMX
PAX3	DAXX
RBM15	DDX39B
TBXA2R	AAMP
ING3	HSPA5
TXN	NUP62
MAPK1	RB1
CSGALNACT1	ARFGEF1
RUVBL2	MAP3K14
THOC3	UTRN
PIGG	APP
MOV10	EMD
CUL3	DPAGT1
SLU7	KDM1A
LIMA1	LYN
SF1	THOC6
HNRNPF	HNRNPU
ATP5PB	ATP5F1C
UPF1	RPS3
